campaign_id	iteration	eval_id	role	current_best_id	new_candidate_id	new_candidate_lineage	scalar_fitness	delta_vs_current_best	decision	novelty_score	artifact_path	status_note
campaign-6d0f628b87	1	toy_default_v1	attacker	attacker-baseline	attacker-b1a0e99519	"{""batch_id"":""campaign-6d0f628b87-i001"",""generation"":1,""mutation_note"":""follow positive historical delta"",""parent_id"":""attacker-baseline""}"	-0.690509	-0.017738	discard	0.041667	runs/campaign-6d0f628b87/comparisons/iter-001/attacker-attacker-b1a0e99519.json	does not beat current best (delta -0.018) and does not add enough novelty
campaign-6d0f628b87	1	toy_default_v1	attacker	attacker-baseline	attacker-4a87a2b4af	"{""batch_id"":""campaign-6d0f628b87-i001"",""generation"":1,""mutation_note"":""counter current-best defender surface"",""parent_id"":""attacker-baseline""}"	-0.676075	-0.003304	archive_interesting	0.035000	runs/campaign-6d0f628b87/comparisons/iter-001/attacker-attacker-4a87a2b4af.json	informative result: delta -0.003, novelty 0.035
campaign-6d0f628b87	1	toy_default_v1	attacker	attacker-baseline	attacker-b0fdf27b6c	"{""batch_id"":""campaign-6d0f628b87-i001"",""generation"":1,""mutation_note"":""raise conversion pressure while keeping heat bounded"",""parent_id"":""attacker-baseline""}"	-0.550486	0.122285	promote	0.029933	runs/campaign-6d0f628b87/comparisons/iter-001/attacker-attacker-b0fdf27b6c.json	beats current best by 0.122 with novelty 0.030
campaign-6d0f628b87	1	toy_default_v1	defender	defender-baseline	defender-6c471aafd9	"{""batch_id"":""campaign-6d0f628b87-i001"",""generation"":1,""mutation_note"":""follow positive historical delta"",""parent_id"":""defender-baseline""}"	-0.398552	0.036144	archive_interesting	0.027400	runs/campaign-6d0f628b87/comparisons/iter-001/defender-defender-6c471aafd9.json	informative result: delta 0.036, novelty 0.027
campaign-6d0f628b87	1	toy_default_v1	defender	defender-baseline	defender-f7d5bfd82c	"{""batch_id"":""campaign-6d0f628b87-i001"",""generation"":1,""mutation_note"":""counter current-best attacker surface"",""parent_id"":""defender-baseline""}"	-0.363797	0.070899	promote	0.042967	runs/campaign-6d0f628b87/comparisons/iter-001/defender-defender-f7d5bfd82c.json	beats current best by 0.071 with novelty 0.043
campaign-6d0f628b87	1	toy_default_v1	defender	defender-baseline	defender-b382acd673	"{""batch_id"":""campaign-6d0f628b87-i001"",""generation"":1,""mutation_note"":""trade excess sensitivity for harder blocking"",""parent_id"":""defender-baseline""}"	-0.413499	0.021197	archive_interesting	0.030800	runs/campaign-6d0f628b87/comparisons/iter-001/defender-defender-b382acd673.json	informative result: delta 0.021, novelty 0.031
campaign-6d0f628b87	2	toy_default_v1	attacker	attacker-b0fdf27b6c	attacker-e032b99d59	"{""batch_id"":""campaign-6d0f628b87-i002"",""generation"":2,""mutation_note"":""follow positive historical delta"",""parent_id"":""attacker-b0fdf27b6c""}"	-0.561050	0.099004	archive_interesting	0.025033	runs/campaign-6d0f628b87/comparisons/iter-002/attacker-attacker-e032b99d59.json	beats current best but loses the same-iteration comparison to attacker-5021dd83db (-0.561 vs -0.541)
campaign-6d0f628b87	2	toy_default_v1	attacker	attacker-b0fdf27b6c	attacker-5021dd83db	"{""batch_id"":""campaign-6d0f628b87-i002"",""generation"":2,""mutation_note"":""counter current-best defender surface"",""parent_id"":""attacker-b0fdf27b6c""}"	-0.540518	0.119536	promote	0.037900	runs/campaign-6d0f628b87/comparisons/iter-002/attacker-attacker-5021dd83db.json	beats current best by 0.120 with novelty 0.038
campaign-6d0f628b87	2	toy_default_v1	attacker	attacker-b0fdf27b6c	attacker-89d8de6fa4	"{""batch_id"":""campaign-6d0f628b87-i002"",""generation"":2,""mutation_note"":""raise conversion pressure while keeping heat bounded"",""parent_id"":""attacker-b0fdf27b6c""}"	-0.542251	0.117803	archive_interesting	0.041133	runs/campaign-6d0f628b87/comparisons/iter-002/attacker-attacker-89d8de6fa4.json	beats current best but loses the same-iteration comparison to attacker-5021dd83db (-0.542 vs -0.541)
campaign-6d0f628b87	2	toy_default_v1	defender	defender-f7d5bfd82c	defender-e89f00fa0f	"{""batch_id"":""campaign-6d0f628b87-i002"",""generation"":2,""mutation_note"":""follow positive historical delta"",""parent_id"":""defender-f7d5bfd82c""}"	-0.378785	0.031500	archive_interesting	0.036000	runs/campaign-6d0f628b87/comparisons/iter-002/defender-defender-e89f00fa0f.json	informative result: delta 0.032, novelty 0.036
